Taxa Real Efetiva,Reservas Internacionais,IPCA,Taxa Selic,PIB EUA,Valor Dolar,Data
95.6,360936.0,0.55,0.03,17197.74,2.3972,2014-01-01
87.63,366717.0,0.67,0.04,17518.51,2.2617,2014-01-04
87.49,376792.0,0.01,0.04,17804.23,2.2051,2014-01-07
92.87,375833.0,0.42,0.04,17912.08,2.462,2014-01-10
93.33,361767.0,1.24,0.04,18063.53,2.6926,2015-01-01
103.69,364473.0,0.71,0.04,18279.78,3.1553,2015-01-04
108.32,368252.0,0.62,0.05,18401.63,3.1188,2015-01-07
127.47,361230.0,0.82,0.05,18435.14,3.9791,2015-01-10
122.64,357507.0,1.27,0.05,18525.93,4.0384,2016-01-01
110.04,362201.0,0.61,0.05,18711.7,3.5796,2016-01-04
99.55,369340.0,0.52,0.05,18892.64,3.2295,2016-01-07
95.95,367528.0,0.26,0.05,19089.38,3.2335,2016-01-10
93.08,367708.0,0.38,0.04,19280.08,3.2726,2017-01-01
93.26,374945.0,0.14,0.03,19438.64,3.1164,2017-01-04
97.45,381029.0,0.24,0.02,19692.6,3.3012,2017-01-07
97.91,380351.0,0.42,0.02,20037.09,3.1499,2017-01-10
99.48,375701.0,0.29,0.02,20328.55,3.2532,2018-01-01
106.74,379979.0,0.22,0.02,20580.91,3.3535,2018-01-04
111.84,379444.0,0.33,0.02,20798.73,3.9052,2018-01-07
106.32,380290.0,0.45,0.02,20917.87,4.027,2018-01-10
106.18,376984.0,0.32,0.02,21111.6,3.8592,2019-01-01
108.96,383799.0,0.57,0.02,21397.94,3.8679,2019-01-04
106.95,385730.0,0.19,0.02,21717.17,3.819,2019-01-07
112.09,369836.0,0.1,0.02,21933.22,4.1737,2019-01-10
113.2,359394.0,0.21,0.01,21727.66,4.021,2020-01-01
141.14,339317.0,-0.31,0.01,19935.44,5.2401,2020-01-04
144.2,354664.0,0.36,0.0,21684.55,5.3649,2020-01-07
154.27,354546.0,0.86,0.0,22068.77,5.6438,2020-01-10
147.01,355416.0,0.25,0.0,22656.79,5.1964,2021-01-01
150.95,350996.0,0.31,0.0,23368.86,5.6846,2021-01-04
139.21,355671.0,0.96,0.01,23921.99,5.0052,2021-01-07
145.35,367927.0,1.25,0.02,24777.04,5.3908,2021-01-10
142.57,358398.0,0.54,0.03,25215.49,5.6306,2022-01-01
119.52,345097.0,1.06,0.04,25805.79,4.6981,2022-01-04
132.68,346403.0,-0.68,0.04,26272.01,5.3139,2022-01-07
126.82,325546.0,0.59,0.05,26734.28,5.1999,2022-01-10
130.0,331122.0,0.53,0.05,27164.36,5.3433,2023-01-01
123.68,345725.0,0.61,0.05,27453.82,5.0634,2023-01-04
118.04,345476.0,0.12,0.04,27967.7,4.7873,2023-01-07
120.73,340247.0,0.24,0.04,28296.97,5.0676,2023-01-10
114.9,355066.0,0.42,0.04,28624.07,4.8913,2024-01-01
120.66,351599.0,0.38,0.04,29016.71,5.0472,2024-01-04
,,,,,5.203187362408467,2025-03-31
,,,,,5.472762349607433,2025-06-30
,,,,,5.514044577701157,2025-09-30
,,,,,4.749125364592487,2025-12-31
,,,,,5.362717948405468,2026-03-31
,,,,,5.270554319338792,2026-06-30
,,,,,5.40328198075451,2026-09-30
,,,,,5.098388650271251,2026-12-31
,,,,,4.909224697190828,2027-03-31
,,,,,5.066155159424852,2027-06-30
,,,,,4.7785788433621725,2027-09-30
,,,,,5.057382503490513,2027-12-31
